id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
budget--eachrowcontainsinformationaboutcropvarietydaystomaturityandwaterrequirementprobabilitiesofreceivingrequirementsareshownfordifferentplantingdates,budget,,"Each row contains information about crop, variety, days to maturity and water requirement. Probabilities of receiving requirements are shown for different planting dates","Mzele uliwonse opita kumanja uli ndi uthenga okhudza mbewu, mtundu wa mbewuyo, masiku omwe imatenga kuti ikhwime komanso madzi omwe imafuna. Kuthekera kokwaniritsa zofunikirazi kukuonetsedwa pa masiku obzalira osiyanasiyana",,,"Mzere uliwonse uli ndi zambiri zokhudza mbeu, mtundu, masiku okula ndi zofunikira za madzi. Mwayi wokwaniritsa zofunikirazo ukuwonetsedwa kwa masiku osiyanasiyana obzyala mbewu.",,"Cila mulongo cila kwata amashiwi pa fya kulima ,imisango ,inshiku shakukula no kufwaya amenshi imibele ya kupokelela ifilefwaikwa ilalangishiwa pa nshikunsha kubyala ishapusana pusana.",Mulongo amulongo ulijisi milumbo,"line kaufela inani mangusa a sicalo, mufuta, mazai akuyofita kutulo ni mezi atokwahala. zekona kuezahala zebonisizwe kwa mazazi akucalela ashutani.","mundanda wezhima wekala nsangú yambutu, muchidi wambutu, mafuku akukula ni menzhi akengékangá mukukula chambutu. Kutwesha kutambula zhakengékangá, anachimwekeshi hamafuku akutumba adambula",kila mulaini,"Kala chazano chili na mazu a mbuto, muyachi,makumbi akuhialamo,meya atela. Jijila mwakutambwilamo vyuma vyosena na makumbi akulihandununa akutumba kala mbuto","Mzele uliwose wakuyenda zamumbeyeka ukulongosola vyakukhwaskana na mbewu, mtundu wa mbewu, mazuba agho yikutola kuti yiche kweniso unandi wamaji agho yikukhumba. Mwabi wakukwaniska vyakukhumbikwira ivi mungakuona pa mazuba ghakupandira ghakupambanapambana",
budget--editbudget,budget,,Edit Budget,Konzani polakwika mu ndondomeko ya ndalama,,,Kupitamonso mu bajeti,,Ukulungika indalama,Amubambulule bulembo bwakubelesya mali,ku ngo'la pampili ya masheleng'I womukai tusisa,ololaku bajeti,kupituluka mu mwaba wa maali,Wahisa mwakuzachishila jimbongo,Onaniso nakunozgaso bajeti,
budget--enterprise,budget,,Enterprise,bizinesi,,Корхона,malonda,,Amakwebo,Izyamakwebo,Zaku lekisa,wuselewa,mingilo ya kwingila,Mazavu avakakusekasana,Bizinesi,
budget--familylabour,budget,,Family Labour,ntchito yogwiridwa ndi eni ake,,меҳнати оила,Ntchito ya banja,,Imilimo ya lupwa,Incinto zyamukwasyi,Musebezi wa lubasi,nyidimu yachisaka,mingilo ya kwingila,Kuzata chavatanga,Ntchito iyo wakugwira mamembala ghamubanja,
budget--femalemember,budget,,Female Member,Munthu wa mkazi,,,Membala wam'kazi,,Membala umwanakashi,Bamakaintu bali mumbunga,Membala wamusali,membala wamumbanda,wamukazhi mukisemi,Membala wa pwevo,Membala mwanakazi,
budget--forsale,budget,,For Sale,Zogulitsa,,,Zogullitsidwa,,Ifya kushitisha,Izyakusambala,zakulekisa,zhakulandisha,byakupotesha,Vyakulanjisa,Vyakuti tigulise,
budget--fruits,budget,,fruits,zipatso,,меваҳо,zipatso,,Ifisabo,Imichelo,Litolwana,nyikabu,bipangwa,Mihako,Vipaso,
budget--herewecanseeinformationforaspecificcropvariety,budget,,Here we can see information for a specific crop variety,apa ndi pomwe tingaone uthenga okhudza mtundu wa mbewu pawokha pawokha,,,Pano titha kuona zambiri za mtundu wa mbeu winawake.,,Apa kuti twamona amashiwi ya misango imo iya fyakulima,Aawa inga mwabona milumbe,Fa mwakona ku bona mangusa mufuta ya sicalo,aha tunateli kumona nsangú yamuchidi wambutu,pano twakonsha,Hano tunahase kumona mazu akala mbuto namuyachi wa kala mbuto,Apa tikuona kulongosola kwakukhwaskana na mtundu wambewu pawekhapawekha,
budget--hours,budget,,hours,Maola,,,Maola,true,Amahola,Mawoola,lioyala,Maola,mawala/kimye,Jilwola,Maola,
budget--howlongisyourbudgetfor,budget,,How long is your budget for?,ndondomeko yanu ya chuma  imakhala yayitali bwanji?,,Буҷаи шумо чанд вақт аст?,bajeti yanu ndi yayitali motani?,,Ubutantiko bwa ndalama shenu iya nshita nshi,Bulampa buti bulembo bwakubesya mali,pampili yebonisa momukai tusisa mashelengi ki ye telele cwani?,bajeti yeyi yahachipimunyi,nanyi kimye,Nyi vilongesela vyove mwakuzachila jimbongo naviya swi nakulihi?,Bajeti yinu njanyengo yitali uli,
budget--import,budget,,Import,Kubweretsa,,,Kutenga,,kuletamo,Amubweze kuzya kumbi,Kubeha ze,kulanda kufuma mumatungá akwengí,sendai kino nekwikitwala kukwabo,Kuneha vikumba kufuma kumafuchi eka,Tolani bajeti yakunozgeka kale,
budget--importbudgetcode,budget,,Import Budget Code,likani nambala ya ndondomeko ya chuma,,,kutenga nambala ya bajeti,true,Ukutwala indalama,Amubweze kuzwa kumbi code,nambolo ya momukai tusisa masheleng'i,kusenda nambala ya bajeti,sendai nambala yakuyukilako mwaba wa maali,Kuneha nambala yamwakuzachishila jimbongo,Tolani nambala ya bajeti,
budget--importcode,budget,,Import Code,,,,,,,,,,,,,
budget--increasescale,budget,,Increase Scale,onjezerani mlingo,,,kuchulukitsa,,Lundeniko cipimo,Amuyungizye cikelo scale,kubehela likala,kukulisha chipimu,nungaikoyeo shikelo,Kuhakilako ku chipezu,Sazgiraniko mweso,
