id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
budget-activities-providewater,budget,activities,provide water,kupereka madzi ku ziweto,,Таъмини об,perekani madzi,,Ukupeela amenshi,Amubone kuti meenda kwaali,kufa mezi,kwinka menzhi,kupa bilelwa meema,Kuhana meya,Kupereka maji,
budget-activities-purchase,budget,activities,purchase,kugula,,харидан,gulani,,Ukushita,Nkuula,Kuleka,kulanda,kupota bintu,Kulanda,Kugula,
budget-activities-relocation,budget,activities,relocation,kusamutsa ziweto,,кӯчдиҳӣ,kusamukira,,Ukukukila ku ncende imbi,Kucinca busena,kututa,kuntutuka,kuviluka,Kununguluka,Kusamuka panji kusintha malo,
budget-activities-shelling,budget,activities,shelling,kutonola/kusola,,релинг,kutongola,,Ukutongola ukufumyako amapapa,Nkuyupa,kutongomona,kutondola,kutotola bijimwa,Kutondola,Kusuwa,
budget-activities-sowing,budget,activities,sowing,kufesa,,кишти,kufesa,,Ukubyala,Nkuswanga,kucala,kutumba,kubyala nkunwa,Kutumba,Kufesa,
budget-activities-storage,budget,activities,storage,kusunga,,анбор,kasungidwe,,Ukusunga,Nkuswanga,Bulukelo,chisweku,kulama bulongo kajo komwanowa,Mwakulamina,Kusunga,
budget-activities-threshing,budget,activities,threshing,kupuntha,,пешбинӣ,kupuntha,,Ukufuuta nangula ukupepeta,Nkuswanga,ku fefula,kupupa,kupepula kajo,Kuzungula,Kupwantha,
budget-activities-transport,budget,activities,transport,Kayendedwe,,наклиёт,mayendedwe,,Imyendele,Izyakweendela,zamaiso,ngéndelu,kusenda kajo mu myootoka,Kututa,Thilansipoti,
budget-activities-transportlivestock,budget,activities,transport livestock,kunyamula ziweto,,Нақлиёт,kunyamula ziweto,,Imyendele ya nama,Amutole zyivwubwa,Kuzamaisa limunanu,kutuntulula yimuna,kusenda bilelwa,Kumbata vimuna nakutwala kweka,Kunyamula viweto kuluta navyo kumalo kunji,
budget-activities-vaccinate,budget,activities,vaccinate,kupereka katemela,,пайванд кардан,katemera,,Ukulaswa,Kuyasa kusilika,Ku sileleza,kwasa ndonú yakukingá,kupa michi bilelwa,Kutuva jindongo,Kupereka katemera,
budget-activities-valueaddition,budget,activities,value addition,kuwonjezera phindu,,Илова,kuwonjezera phindu,,Ukulundako mutengo,Kugaya kuyungizya bubotu,kubehela zeende,kushilahu kuwaha hela kulema,kulenga bintu kufuma ku kajo,Kuwezela nganyo,Kusazgirako phindu,
budget-activities-watering,budget,activities,watering,kuthirira,,обёрӣ,kuthirira,,Ukutapilila,Kwiinda,ku selaela,kutukumwina,kutekezha,Kuthukumwina,Kuthirira,
budget-activities-weeding,budget,activities,weeding,kupalira,,хишова,kupalira,,Ukusekwila,Kulimina,ku taula,kusangúla,kusekwila,Kusangula,Kuvutilira,
budget-enterprise-afforestation,budget,enterprise,afforestation,kudzala mitengo,,орадодӣ,kubzyala mitengo,,Ukulima imiti,Zyisamu,Ku cala likota,kutumba nyitondo,kubyala bichi,Kutumba mitondo,Kusazgirako thengere pakupanda makuni,
budget-enterprise-beekeeping,budget,enterprise,beekeeping,Ulimi wa njuchi,,,,,,,,,,,,
budget-enterprise-brickmaking,budget,enterprise,brick making,Kuumba njerwa,,,,,,,,,,,,
budget-enterprise-casuallabour,budget,enterprise,casual labour,ganyu,,,,,,,,,,,,
budget-enterprise-cattle,budget,enterprise,cattle,ng'ombe,,ҳайвон,ng'ombe,,Ngombe,ngombe,komu,ng'ombi,kulela banombe,Vangombe,Ng'ombe,
budget-enterprise-charcoal,budget,enterprise,charcoal,makala,,,,,,,,,,,,
budget-enterprise-chicken,budget,enterprise,chicken,nkhuku,,чӯҷа,nkhuku,,Inkoko,kuku,kuhu,kasumbi,kulela banzolo,Kasumbi,Nkhuku,
budget-enterprise-cowpeas,budget,enterprise,cowpeas,khobwe,,гов,nyemba,,Ilanda,Nyabo,manawa a sinthu,makundi achifwifwita,kujima nkunde ya lwanda,Makunde alanda,Nkhunde,
budget-enterprise-ducks,budget,enterprise,ducks,abakha,,мурғ,abakha,,Ifibata,Amadada,li bato,mapatu,kulela bibata,Vapato,Mabaka,
budget-enterprise-firewood,budget,enterprise,firewood,nkhuni,,,,,,,,,,,,
budget-enterprise-fish,budget,enterprise,fish,nsomba,,моҳӣ,nsomba,,Isabi,Answi,Tapi,inshi,kulela masabi,Vayishi,Somba,
budget-enterprise-foodselling,budget,enterprise,food selling,kugulitsa zakudya,,,,,,,,,,,,
budget-enterprise-goats,budget,enterprise,goats,mbuzi,,бузҳо,mbuzi,,Imbushi,Mpongo,li puli,mpembi,kulela bambuzhi,Vapembe,Mbuzi,
budget-enterprise-groundnuts,budget,enterprise,groundnuts,mtedza,,заминӣ,nshawa/mtedza,,Imbalala,Ndongwe,Ndongo,inyimu,kujima mbalala,Vyelu vya munyinga,Skawa,
budget-enterprise-guineafowl,budget,enterprise,guinea fowl,nkhanga,,Гвинея парранда,nkhanga,,Ikanga,Nkanga,li kaka,imbangála,kulela makanga,Vakhanga,Nkhanga panji Mphangera,
budget-enterprise-handicraft,budget,enterprise,handicraft,Ntchito za Manja,,,,,,,,,,,,
budget-enterprise-maize,budget,enterprise,maize,chimanga,,ҷуворимакка,chimanga,,Amataba,Mapopwe,Mbonyi,kabaka,kujima mataba,Chivwale,Vingoma,
budget-enterprise-mixed,budget,enterprise,mixed,kusakaniza,,омехта,kusakaniza,,Ukusankanishiwa,zyaandeene andeene,kukopanya,zhakubomba,kuvwanga bijimwa,Kufutula,Vyakuvanga,
budget-enterprise-onions,budget,enterprise,onions,anyezi,,,anyezi,,Kanyese,Hanyisi,anyisi,sapola,kujima sapola,Sapola,Hanyezi,
budget-enterprise-pawpaw,budget,enterprise,paw-paw,papaya,,По-По,paw-paw,,Poopoo,Mapopo,paw-paw,popu,kujima mapopo,Lipopo,Vipayipayi,
budget-enterprise-pigeonpeas,budget,enterprise,pigeon peas,nandolo,,нахуд кабӯтар,nyamndolo,,Ingoyolyo,Pigeon peas,manawa a sintu,makundi awundeli,kujima ngolyolyo,Makunde a pigeon,Mpheni,
budget-enterprise-pigs,budget,enterprise,pigs,nkhumba,,хукҳо,nkhumba,,Inkumba,Ngulube,Li kulube,ingulu,kulela bankumba,Vangulu,Nkhumba,
budget-enterprise-retailtrading,budget,enterprise,retail trading,ma bizinesi ang'onoang'ono,,,,,,,,,,,,
budget-enterprise-rice,budget,enterprise,rice,mpunga,,биринь,mpunga,,mupunga,Mumpunga,Rice,losu,kujima mupunga,Loso,Mpunga,
budget-enterprise-sheep,budget,enterprise,sheep,nkhosa,,гӯсфанд,mbelele,,impanga,Mbelele,nguu,mukoku,kulela mikoko,Mukoko,Mberere,
budget-enterprise-sorghum,budget,enterprise,sorghum,mapila,,сорго,mapira,,Amasaka,Izembwe,Mabele,masa,kujima mebele,Masa,Mdomba,
budget-enterprise-soyabeans,budget,enterprise,soya beans,soya,,лӯбиёи Суй,Kayera wa soya,,Cilemba wa soya,Soya yanyabo,manawa a soya,makundi achifwifwita,kujima nkunde ya meema,Makunde a soya,Soya,
budget-enterprise-sweetpotatoes,budget,enterprise,sweet potatoes,mbatata ya kholowa,,картошка ширин,kandolo/kachamba,,Ifyumbu,Imbwali,Ngulu,chingovwa,kujima ntamba,Jitamba,Mboholi,
budget-enterprise-tomatoes,budget,enterprise,tomatoes,tomato,,помидор,chimate,,Tomato,Madeede,Tamangisi,machamacha,kujima mate-mate,Machamacha,Tomato,
budget-enterprise-watermelon,budget,enterprise,watermelon,mavwende,,тарбуз,vwembe,,Icitangamenshi,Banamunyo,watermelon,ihapwa,kujima bainamunwa,Lihapwa,Vimwamaji,
budget-inputs-bags,budget,inputs,bags,matumba,,халта,matumba,,Ifyola,Masaka aakubikila,ma saka,yola,masaka,Jinjeke,Mathumba,
budget-inputs-chemicals,budget,inputs,chemicals,mankhwala,,кимиёвӣ,mankhwala,,Imiti,Misamu,Mulwani wa silelezo,mayitumbu,michi,Vitumbo,Mkhwala,
budget-inputs-feed,budget,inputs,feed,zakudza za ziweto,,таъом,zakudya zaziweto (Kudyetsa),,Ukulisha,Cakulya,Lico za limunanu,yakuda yatusumbi,kajo ka bilelwa,Kulya chavimuna,Vyakulya vya viweto,
budget-inputs-fertiliser,budget,inputs,fertiliser,feteleza,,нуриҳо,feteleza,,Umufundo,Camutuzya,Mununo,wushi,mbolesha,Wilo wa undele,Fatereza,
budget-inputs-housing,budget,inputs,housing,khola,,манзил,mosungila,,Inganda,Kumbandela babelesi,Ndu ya mabulukelo,matala,mazubo,Zuvo,Chibaya,
budget-inputs-labourpaid,budget,inputs,labour - paid,"ganyu ",,Меҳнати - пардохтшаванда,ntchito - yolipidwa,,incito iyalipilwa,Nkumbandela bancito,musebezi woulifilwe,kufwetela nyidimu,maali akufuta bamwingilo,Milimo yakufwetela,Ganyu,
budget-inputs-manuresacks,budget,inputs,manure sacks,matumba a manyowa,,халта,masaka ya manyowa,,Amaka ya mufundo,Masaka aambolezi,Saka ya mununo,masaka awushi,bashikishiki ba mufundo,Jinjeke ja wilo wa vimuna,Mathumba gha manyowa,
budget-inputs-manurewheelbarrows,budget,inputs,manure wheelbarrows,wilibala ya manyowa,,поруи аробача,wilibala ya manyowa,,Icibala ca mufundo,Mbolezi,wilibala ya mununo,wilibala ya manyuwa,ngolofwana ya mufund,Jingolofwana ja wilo wa vimuna,Wilibala ya manyowa,
budget-inputs-money,budget,inputs,money,ndalama,,,ndalama,,Indalama,Mali,Masheleng'I,madi,maali,Jimbongo,Makopala panji ndalama,
budget-inputs-oxcart,budget,inputs,ox cart,ngolo,,ароба окс,kochikali/ ngolo,,ngombe iyakulima,Cikochi,kochikali,itemba,kikochikala,Litemba,Chikochikali panji ngolo,
budget-inputs-potforstorage,budget,inputs,pot for storage,mphika wongula zinthu,,дег барои нигаҳдошт,mphika wosungira,,Umupika wa kusungilamo,Butala bwakuyabwenda,mupika wa bulukelo,indehu yakuhembelamu,mpoto mwakufya kajo,Ndeho yakulaminamo,Muphika wakusungila vinthu,
budget-inputs-protectiveequipment,budget,inputs,protective equipment,zida zozitetezera pogwira ntchito,,Таҷҳизоти муҳофизатӣ,zida zoteteza,,Ifibombelo fyakucingilila,Zyakusama zyakulikwabilila amubili,lipangaliko zaku sileleza,zhakuzatisha kudikingá,kuvwala bivwaloo pakwingila mingilo,Vinuma vya kulikinga navyo,Vilwero vyakujivikililila pakugwira ncthito,
budget-inputs-seeds,budget,inputs,seeds,mbewu,,тухмҳо,mbewu,,Imbuto,Nimbuto,peu,mbutu,nkunwa,Mbuto,Mbewu,
budget-inputs-shellerhire,budget,inputs,sheller hire,kupanga hayala chida chotonolera,,skeller киро мекунад,makina otongolera olipilidwa,,Ukwashima icakutongelako,Cibulo cakugaisya cakumbandela,lipangaliko zaku chokolisa zaku lifa,kufwetela makina akutondwesha,kutotola bijimwa na mashinyi,Likina lyakuzungwila lya kukumuna,Kupanga hayala chakugumuzira,
budget-inputs-supplements,budget,inputs,supplements,zakudya za ziweto zoowonjezera,,лавозимот,zothandizila/zowonjezera,,Ifyalundwako,Zyakulya zyiindeene-indeene,zaku tusa,zhakukwasha kumuzhimba,kajo kakujisha bilelwa,Vyuma vyakufutwila kuvyakulya,Vyakulya vya viweto vyakusazgirapo,
budget-inputs-tools,budget,inputs,tools,zida,,Воситаҳо,zida,,Ifibomelo,Asaka aambolezi,lipangaliko,zhakuzatisha,bintu byakwingijisha pa kwingila,Vinuma,Vilwero,
budget-inputs-tractorhire,budget,inputs,tractor hire,kubweleka thirakitale,,кузинги трактор,thalakita yolipilidwa,,Ukwashima trakita yakubomfya,Citola kumbo tulakita yakumbandela,trakitor yaku lifa,kusonkela tilakita,maali akupana pakujima na talakita,Tractor yakukumuna,Kupanga hayala talakita,
budget-inputs-transportationhire,budget,inputs,transportation hire,hayala ya thiransipoti,,Корти ҳамлу нақл,mayendedwe olipira,,Ukwashima kwa mamotoka yakubomfya,Zyibelesyo zyakweendela zyakumbandela,lizamaiso zaku lifa,kusonkela makina akutuntulula,maali akupa kukimbayambayamba pakusenda kajo,Minyau yakukumuna,Kupanga hayala chakuyeghera katundu,
budget-inputs-vaccine,budget,inputs,vaccine,katemera,,ваксина,katemera,,Umuti,Zyibelesyo misamu,mulwani waku sileleza,ndongú yakukingá,muchi,Vitumbo vya mundongo,Katemera,
budget-inputs-wood,budget,inputs,wood,nkhuni,,,matabwa,,Icimuti,Zyakubelesya ninkuni,kota,nchawa,mapulanga,Mitondo,Nkhuni,
budget-other-addcustom,budget,other,add custom,onjezani zipangizo,,одат кунед,kuikapo m'sonkho,,Ukulundako ifyo ulefwaya,Zyimwi amusanganye zyimwi,kubeha muhato,kusha musonku,bikaipo kisemwa,Hakako mutelo,Sazgiranipo vinyake,
budget-other-familylabour,budget,other,family labour,ntchito yogwiridwa ndi amubanjamo,,меҳнати оила,ntchito ya banja,,Imilimo ya lupwa,Zyimwi kubeleka mbuli mukwasyi,musebezi wa lubasi,nyidimu yachisaka,mingilo ya kwingila,Kuzata chavatanga,Ntchito iyo wakugwira mamembala ghamubanja,
budget-outputs-crop,budget,outputs,crop,mbewu,,кишт,mbewu,,Icilimwa,Kuzyindilila zyisyango,sicalo,mbutu,bijimwa,Jimbuto,Mbewu,
budget-outputs-eggs,budget,outputs,eggs,mazira,,Тухм,mazira,,Amani,Kuzyindilila maji,mai,mateta,make,Maulu,Masumbi,
budget-outputs-fodderforlivestock,budget,outputs,fodder for livestock,chakudya cha ziweto,,хӯроки чорво,chakudya cha ziweto,,Ifyakulya fya nama,Kuzyindilila cakulya cazyivwubwa,sico sa limunanu,yakuda yayimuna,munyenvu,Vyakulya vya vimuna,Chakulya cha viweto,
budget-outputs-manureforcompost,budget,outputs,manure for compost,manyowa a kompositi,,пору барои компост,manyowa a kompositi,,Umufundo wa cikaya,Kuzyindilila mbolezi yakabambwa kwiinda mukuvwumbila muzyilindi,mununo wakuipangela kuitusisa manyalala,wushi wakupanga kuzatisha matahu,mufundo wakubika kubijimwa,"Wilo wakufwatula namwila,mafo na wilo wavimuna",Manyowa gha kompositi,
budget-outputs-meat,budget,outputs,meat,nyama,,гӯшт,nyama,,Inama,Kuzyindilila ninyama,nama,mbizhi,nyama,Nyama,Nyama,
budget-outputs-milk,budget,outputs,milk,mkaka,,шир,mkaka,,Umukaka,Kuzyindilila mumukupa,mabisi,mayeli,mukaka,Mavele,Chithuwi panji mkaka,
budget-outputs-money,budget,outputs,money,ndalama,,пул,ndalama,true,,,,,,,,
budget-outputs-wood,budget,outputs,wood,nkhuni,,дарахт,matabwa,true,,,,,,,,
climate--above,climate,,Above,,,,,,,,,,,,,
climate--after,climate,,After,,,,,,,,,,,,,
climate--analyse,climate,,Analyse,Kuzukuta,,,Fufuza,true,Ukupitulukamo,Mbuli luuwo mboluunga amulanganye,Ku tatuluha,shinshika,kupitulukamo,Kuheza,Oneseskanipo (Kusanga chung'anamulo),
climate--annualforecast,climate,,Annual Forecast,Ulosi wachaka,,,,true,,,,,,,,
climate--before,climate,,Before,,,,,,,,,,,,,
climate--below,climate,,Below,,,,,,,,,,,,,
climate--calculatedwiththedaterangeofstartofrainsandendoftherains,climate,,Calculated with the date range of Start of rains and End of the rains,,,,,true,,,,,,,,
climate--capacityof100mmon1stmarchreduces05withevaporationrateof5mmperday,climate,,Capacity of 100mm on 1st March reduces 0.5 with evaporation rate of 5mm per day,,,,,true,,,,,,,,
climate--chart,climate,,Chart,Galafu,,,Zithunzi zazochita,,Icipepala icalembwapo,Imbulembo mbuli luuwo mboluunga,pampili ya zakueza,mundanda wayuma mukwila,kipepala panembwa bintu byonse,Lipepa lili naunjiho wakusonsena muvihanda vitatu,Gilafu,
climate--downscaledforecast,climate,,Downscaled Forecast,,,,,true,,,,,,,,
climate--end,climate,,End,,,,,,,,,,,,,
climate--endofseason,climate,,End of Season,,,,,,,,,,,,,
climate--extreme,climate,,Extreme,,,,,,,,,,,,,
climate--extremerainfall,climate,,Extreme Rainfall,,,,,,,,,,,,,
climate--first3daysreceivingrainfallamountof20mmandnotfollowedby9daydryspellforthenext21days,climate,,First 3 days receiving rainfall amount of 20mm and not followed by 9-day dry spell for the next 21 days,,,,,true,,,,,,,,
climate--forecast,climate,,Forecast,zanyengo,,,,true,,,,,,,,
climate--frequencyofextreme,climate,,Frequency of Extreme,,,,,,,,,,,,,
climate--highestmaximumdailytemp,climate,,Highest maximum daily temp,,,,,,,,,,,,,
climate--lengthofseason,climate,,Length of Season,,,,,,,,,,,,,
climate--line,climate,,Line,Mzere,,,Mzere,,Icishilwa,Mundandanda mbuli luuwo mboluunga,Line,mufunda,mulaini nangwa mupaka,Mufunda,Muzere,
climate--lowestminimumdailytemp,climate,,Lowest minimum daily temp,,,,,,,,,,,,,
climate--map,climate,,Map,Mapu,,,Mapu,,Mapu,Imaapu iitondezya mbuli luuwo mboluunga,mapa,mukanda wanzhila,sabwakya wakuchiba mpunzha,Lipepa vatengaho ngalila,Mapu,
climate--maximumtemperatures,climate,,Maximum Temperatures,,,,,,,,,,,,,
climate--maxtemps,climate,,Max Temps,,,,,,,,,,,,,
climate--meanmaximumdailytemp,climate,,Mean maximum daily temp,,,,,,,,,,,,,
climate--meanminimumdailytemp,climate,,Mean minimum daily temp,,,,,,,,,,,,,
climate--minimumtemperatures,climate,,Minimum Temperatures,,,,,,,,,,,,,
climate--mintemps,climate,,Min Temps,,,,,,,,,,,,,
climate--outof,climate,,out of,kuchokera pa,,,kuchokera,,Ukufuma muli,Kulanganya mbuli luuwo mboluunga,Kuzwelela,kufuma,kufumyam,Chafuma ku,Pa panji pavigawa,
climate--printversion,climate,,Print Version,zoti zikhoza kusindikizidwa,,,zolembedwa papepala,,Umusango wa kupulinta,Kuba aabulembo zyifwanikiso mbuli luuwo mboluunga,ku zusa ze ngo'zwi fa pepa,zhakusonekewa hachipapilu,nembai ne kupwisha byonse pakipepala,Mukanda vasoneka lyehi,Kuchiwika mwakuti tingapulinta,
climate--rain,climate,,Rain,,,,,,,,,,,,,
climate--seasonalrainfall,climate,,Seasonal Rainfall,,,,,,,,,,,,,
climate--seasonaltotalrainfallcalculatedbetweenthedefinedstartanddefinedendoftheseason,climate,,Seasonal total rainfall calculated between the defined start and defined end of the season,,,,,true,,,,,,,,
climate--seasonaltotalrainfallmm,climate,,Seasonal Total Rainfall (mm),,,,,,,,,,,,,
climate--selectasite,climate,,Select a site,sankhani malo,Chagua tovuti,Интихоб кунед сайт,sankhani malo,,Saleni ncende,Mbuli luuwo mboluunga amulanganye akusala busena bwakulimina,Ku keta sibaka,kusakula ilungá,salai mpunzha yomukebe,Sakula chihela,Sankhani malo,
climate--share,climate,,Share,tumizani,,,gawani,true,,,,,,,,
climate--sharechart,climate,,Share Chart,tumizani galafu,,,gawani chithunzi,,Akanyeni cipepala icalembwapo,Amwaabane bulembo mbutondezya mbuli luuwo mboluunga,kuabana pampili,kumpangíla chipapilu chazhakwila,kwabanya byanemwa pa kipepala,Pangila,Gawani panji tumizgani gilafu,
climate--showlist,climate,,Show List,Onetsani Mndandanda,,,,,,,,,,,,
climate--showmap,climate,,Show Map,Onetsani Mapu,,,,,,,,,,,,
climate--start,climate,,Start,,,,,,,,,,,,,
climate--startofseason,climate,,Start of Season,,,,,,,,,,,,,
climate--temperaturec,climate,,Temperature (°C),,,,,,,,,,,,,
climate--terciles,climate,,Terciles,Magawo a zotsatira za kafukufuku,,,Misampha,,Ifiputulwa fitatu,Luuwo mboluunga (terciles),ma pampili,mundanda wasangú yachipimu chayuma,bizhingu bya bibamba bya mvula,Lipepa lili naunjiho wakusonsena muvihanda vitatu,Vigawa vitatuvitatu,
climate--tools,climate,,Tools,zida,,Воситаҳо,zida,true,,,,,,,,
climate--yearsoutofevery10,climate,,years out of every 10,zaka pa zaka 10 zilizonse,,,zaka 10 zilizonse,,Imyaka pali yonse 10,Bulembo mbuli luuwo mboluunga kwamyaaka iisika kuli iilinkumi,lilimo ze kuma fa 10 silimo ni silimo,yaka kufuma muyaka ikumi,myaka yapitapo pa myaka jikumi jimo,Myaka vafumisa mu likumi,Vyaka pa vyaka khumi vilivose,
climate-chart-end,climate,chart,End,Pothera,,,Tsirizani,true,Mpela,Mbuli mwaaka mbuwakamana,Mafelelezo,kukuma,kipepala panembwa bintu,Kusongo,Paumaliro,
climate-chart-endofseason,climate,chart,End of Season,Mapeto a nyengo,Mwisho wa Msimu,Охири мавсим,Kutha kwa nyengo,true,Impela ya nshita,Mbuli mwaaka mbuwakamana wakulima,Ma felelezo a silimo sa njimo,kukuma chachilaaka,kumpelo ya mayoo,Kusongo yangonde,Paumaliro wa nyengo panji chaka,
climate-chart-endofseasonisdefinedasthelastdayintheseason1stoctober30thaprilwithmorethan10mmofrainfall,climate,chart,End of season is defined as the last day in the season (1st October - 30th April) with more than 10mm of rainfall.,Mapeto a nyengo akutanthauza tsiku lomaliza mu nyengo (1 okotobala mpaka 30 epulo) lomwe kwagwa mvula yoposa 10mm,Mwisho wa msimu hufafanuliwa kama siku ya mwisho msimu (1 Oktoba - 30 Aprili) na zaidi ya 10mm ya mvua.,Анҷоми мавсим ҳамчун рӯзи охир дар мавсими (1 октябр - 30 апрел) бо зиёда аз 10 миллион боришот муайян карда мешавад.,Kutha kwa nyengo kutanthauza tsiku lomaliza mu nyengo (1 okutobala mpaka 30 epulo) lomwe kwagwa mvula yoposa 10mm,true,ukupwa kwa inshita kwalondolwela ngo bushiku bwa kulekelesha mu nshita 1st octber-30April ne mfula ukucila pali 10mm,Mbuli mwaaka mbuwakamana wabulimi kutalikila mu (1st October -30th April) avwula iisika kumweelwe wa 10mm,Mafelelezo a silimo sa njimo ki zazi yama felelezo a silimo sa njimo (1st October-30 April) ni pula yefitelela fa 10mm,"kukuma chachilaaka, achilumbununa neyi ifuku dakumanisha chilaaka (neyi 1st october (ivumbi danyanya) - 30th april (kulundu) konoka nvula yakuhambakana chipimu cha 10mm",kumpelo ya nokelo ya mvula,Likumbi lyamakushilo mungonde chikiko kukuma changode( ha 1Kasukwe-30 kambamba nalisa) Kuhambana 10mm ya vula.,Umaliro wanyengo chikunganamula zuwa laumaliro munyengo (ngeti yavula) (1 Okutobala mpaka 30 Epulero) apo vula yawa yakukwana 10 mm,
climate-chart-extreme,climate,chart,Extreme,Kupyola Muyeso,,,Kupitilira Muyeso,true,ukucilamo,Mbuli mwaaka nowakacita kabotu,ze ng'ta,kuhitilila chipimu chatela,kukila mukipimo,Kuhambakana museteko,Kujumpha muzere,
climate-chart-extremerainfall,climate,chart,Extreme Rainfall,Mvula yopyola muyeso,,,Kugwa kwa Mvula kopitilira muyeso,true,Imfula iyacilamo,Mbuli vwula mboyakawa kabotu kwamwaaka ooyo,Pula yengata ye fitelela,nvula yakubadika chipimu chatela,kunoka mvula mukatampe,Vula inasweze,Vula yakujumpha muzere,
climate-chart-extremerainfallaredayswherethetotalamountofrainexceedsthe95thpercentile,climate,chart,Extreme rainfall are days where the total amount of rain exceeds the 95th Percentile,Mvula yopyola muyeso ndi masiku amene mlingo wa mvula yapitilira gawo la 95 percent,,,Kugwa kwamphamvu kwa mvula ndi masiku omwe mvula yonse pamodzi yowonkhetsedwa yapitirira 95th Percentile,true,Imfula iyakulisha ni shiku umo imfula yonse iyacila pa mapesenti 95,mbuli vwula mboyakawa kabotu kwamwaaka ooyo mboyakaindilila amweelwqe wa 95%,Pula yengata ki ma zazi ya fitelele 95% ya pula,Kunoka chanvula yakubadika hinvula yanokangá kuhitilila chipimu cha 95th Percentile,kunoka mvula mukatampe,Nge ngwetu vula inasweze akiko makumbi aze vula yeshi kuhambananga seteko ya 95%,Vula yakujumpha muzere ni mazuwa agho vula yawa kujumpha vigawa 95 pavigawa 100.,
climate-chart-frequencyofextreme,climate,chart,Frequency of Extreme,Kachulukidwe ka kupyola muyeso,,,Kuchuluka kopitilira muyeso,true,Imiku iingi iyacilapo,zyiindi ivwula niyakawa mubunji,Kufitelela ze behilwe,mapampa akubadika chipimu chatela,kimye kyabaya mvula ne mwela inge byabaya,Kutwalillilaho kusweza,Unandi wakujumpha muzere,
climate-chart-length,climate,chart,Length,kutalika,,Дарозӣ,kutalika,true,Ubutali,mwewelwe ivwula nguyakatola kuwa,butelele,kuleha,kulepa,Kusuwa,Utali wake,
climate-chart-lengthofseason,climate,chart,Length of Season,Kutalika kwa nyengo,Muda wa Msimu,Мавсими мавсим,Kutalika kwa nyengo,true,Ubutali bwa nshita,mweelwe ivwula ngoyakatola kuwa mwaaka ooyo wabulimi,Butelele bwa silimo sa njimo,kuleha chachilaaka,kulepa kwa ene mayoo,Ngonde yayisuku,Utali wanyengo,
climate-chart-lengthofseasonisdefinedasthetotaldaysfromthestartoftheseasonuntiltheendoftheseasonasdefined,climate,chart,Length of season is defined as the total days from the start of the season until the end of the season as defined,Lutalika kwa nyengo kutanthauza masiku onse kuyambira pachiyambi mpaka pamapeto a nyengo monga momwe zafotokozedwa,Urefu wa msimu hufafanuliwa kama siku zote kutoka mwanzo wa msimu mpaka mwisho wa msimu kama ilivyoelezwa,Дарозии мавсим ҳамчун рӯзҳои умумии аз оғози мавсим то охири мавсим муайян карда мешавад,Kutalika kwa nyengo kutanthauza masiku onse kuyambira pachiyambi mpaka pamapeto a nyengo monga momwe zafotokozedwa,true,Ubutali bwa nshita bwalondololwelwa nge nshiku shonse ukufuma pa kutendeka kwa nshita bukufika ku mpela ya nshita nga fintuyal0ondolwelelwe.,mweelwe ivwula ngoyakatola kuwa mwaaka ooyo wabulimi kutondezya kuzwa niyakatalika kuwa kusikila niyakaleka kuwa,butelele bwa silimo sa njimo ki mazazi kaufela aku kala koyofita ma felelezo,kuleha chachilaaka achilumbununa neyi mafuka akuhita kufuma hakutachika chachilaaka kushika hakukuma,kulepa kwa kimye kyamvula,Kusuwa cha ngonde yavula chapwa kuvula chamakumbi osena avula kufuma haputula swi na kusongo ya ngonde,Utali wa nyengo ukung'anamula kusazga vula yose iyo yapangika wayilemba kufumira pa kudankha mpaka paumaliro wa nyengo,
climate-chart-maximumtemperatures,climate,chart,Maximum Temperatures,Mulingo wakatenthedwe kukatentha kwambiri,,,,true,,,,,,,kuotcha  chomene,
climate-chart-maxtemps,climate,chart,Max Temps,Mulingo wakatenthedwe kukatentha kwambiri,,,,true,,,,,,,kuotcha  chomene,
climate-chart-minimumtemperatures,climate,chart,Minimum Temperatures,Mulingo wakazizilidwe kukazizira kwambiri,,,,true,,,,,,,kuzizima chomene,
climate-chart-mintemps,climate,chart,Min Temps,Mulingo wakazizilidwe kukazizira kwambiri,,,,true,,,,,,,kuzizima chomene,
climate-chart-rain,climate,chart,Rain,Mvula,,,Mvula,true,Imfula,Ivwula,Pula,nvula,mvula,Vula,Vula,
climate-chart-seasonalrainfall,climate,chart,Seasonal Rainfall,Mvula ya mu nyengo,Mvua ya msimu,Боришоти мавсимӣ,Mvula ya mu nyengo,true,Imfula ya nshita,Ivwula yamwaaka wabulimi ooyo,Pula ya silimo,nvula yamuchilaaka,kipimo Kya mvula unoka,Vula ya hangonde hi ngonde,Vula ya munyengo,
