id,forecast_type,country_code,language_code,storage_file,mimetype,label,downscaled_location,location
2025/downscaled/mzimba/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/mzimba.mw_en.pdf,application/pdf,2025 - 2026,mzimba,[]
2025/downscaled/mzimba/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/mzimba.mw_ny.pdf,application/pdf,2025 - 2026,mzimba,[]
2025/downscaled/nkhata_bay/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/nkhata_bay.mw_en.pdf,application/pdf,2025 - 2026,nkhata_bay,[]
2025/downscaled/nkhata_bay/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/nkhata_bay.mw_ny.pdf,application/pdf,2025 - 2026,nkhata_bay,[]
2025/downscaled/nkhotakota/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/nkhotakota.mw_en.pdf,application/pdf,2025 - 2026,nkhotakota,[]
2025/downscaled/nkhotakota/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/nkhotakota.mw_ny.pdf,application/pdf,2025 - 2026,nkhotakota,[]
2025/downscaled/nneno/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/nneno.mw_en.pdf,application/pdf,2025 - 2026,nneno,[]
2025/downscaled/nneno/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/nneno.mw_ny.pdf,application/pdf,2025 - 2026,nneno,[]
2025/downscaled/nsanje/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/nsanje.mw_en.pdf,application/pdf,2025 - 2026,nsanje,[]
2025/downscaled/nsanje/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/nsanje.mw_ny.pdf,application/pdf,2025 - 2026,nsanje,[]
2025/downscaled/ntcheu/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/ntcheu.mw_en.pdf,application/pdf,2025 - 2026,ntcheu,[]
2025/downscaled/ntcheu/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/ntcheu.mw_ny.pdf,application/pdf,2025 - 2026,ntcheu,[]
2025/downscaled/ntchisi/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/ntchisi.mw_en.pdf,application/pdf,2025 - 2026,ntchisi,[]
2025/downscaled/ntchisi/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/ntchisi.mw_ny.pdf,application/pdf,2025 - 2026,ntchisi,[]
2025/downscaled/phalombe/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/phalombe.mw_en.pdf,application/pdf,2025 - 2026,phalombe,[]
2025/downscaled/phalombe/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/phalombe.mw_ny.pdf,application/pdf,2025 - 2026,phalombe,[]
2025/downscaled/rumphi/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/rumphi.mw_en.pdf,application/pdf,2025 - 2026,rumphi,[]
2025/downscaled/rumphi/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/rumphi.mw_ny.pdf,application/pdf,2025 - 2026,rumphi,[]
2025/downscaled/salima/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/salima.mw_en.pdf,application/pdf,2025 - 2026,salima,[]
2025/downscaled/salima/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/salima.mw_ny.pdf,application/pdf,2025 - 2026,salima,[]
2025/downscaled/thyolo/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/thyolo.mw_en.pdf,application/pdf,2025 - 2026,thyolo,[]
2025/downscaled/thyolo/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/thyolo.mw_ny.pdf,application/pdf,2025 - 2026,thyolo,[]
2025/downscaled/zomba/mw_en,downscaled,mw,mw_en,mw/forecasts/downscaled/2025/zomba.mw_en.pdf,application/pdf,2025 - 2026,zomba,[]
2025/downscaled/zomba/mw_ny,downscaled,mw,mw_ny,mw/forecasts/downscaled/2025/zomba.mw_ny.pdf,application/pdf,2025 - 2026,zomba,[]
2025/seasonal_summary/mw_en,seasonal,mw,mw_en,mw/forecasts/seasonal/2025/summary.mw_en.pdf,application/pdf,2025 - 2026 Summary,,[]
2025/seasonal/mw_en,seasonal,mw,mw_en,mw/forecasts/seasonal/2025/mw_en.pdf,application/pdf,2025 - 2026 Outlook,,[]
