crop,variety,maturity_period,days_lower,days_upper,additional_info,additional_data,country_code
sweet-potatoes,MUDAWILA,early,85,120,,{},zm
sweet-potatoes,MULUNGUSHI,early,85,120,,{},zm
sweet-potatoes,MUNUNSHI,early,85,120,,{},zm
sweet-potatoes,MWANIBYALILANJI,early,85,120,,{},zm
sweet-potatoes,OFSP,early,85,120,,{},zm
sweet-potatoes,OLYMPIA,early,85,120,,{},zm
sweet-potatoes,ORANGE,early,85,120,,{},zm
sweet-potatoes,ORANGE-CHINGOVWA,early,85,120,,{},zm
sweet-potatoes,ORANGE-FLESHED,early,85,120,,{},zm
sweet-potatoes,ZAMBEZI,early,85,120,,{},zm
tobacco,BARLEY,medium,130,130,,{},zm
tobacco,VIRGINIA,medium,130,130,,{},zm
beans,BOUNTY,early,75,75,Masvingo,{},zw
beans,CARDINAL,early,75,75,Masvingo,{},zw
beans,KWARE,early,75,75,Masvingo,{},zw
beans,SC-SHARP,early,75,75,Masvingo,{},zw
cotton,ALBAR,late,120,150,Masvingo,{},zw
cotton,G51,late,120,150,Masvingo,{},zw
cowpeas,CBC-2,early,75,80,Masvingo,{},zw
cowpeas,CBC1,early,75,80,Masvingo,{},zw
cowpeas,IT-18,early,75,80,Masvingo,{},zw
groundnuts,MAKULU-RED,medium,85,105,Masvingo,{},zw
groundnuts,NATAL-COMMON,medium,85,105,Masvingo,{},zw
groundnuts,SC-NYANDA,medium,85,105,Masvingo,{},zw
groundnuts,VALENCIA,medium,85,105,Masvingo,{},zw
maize,P3812W,late,150,160,Masvingo,{},zw
maize,PAN-413,early,120,135,Masvingo,{},zw
maize,PAN-53,medium,135,150,Masvingo,{},zw
maize,PAN-7M81,late,150,160,Masvingo,{},zw
maize,PGS-51,medium,135,150,Masvingo,{},zw
maize,PGS-61,medium,135,150,Masvingo,{},zw
maize,PGS-63,medium,135,150,Masvingo,{},zw
maize,PGS-65,medium,135,150,Masvingo,{},zw
maize,PHB30G19,medium,135,150,Masvingo,{},zw
maize,PHB3506W,early,120,135,Masvingo,{},zw
maize,SC-419,early,120,135,Masvingo,{},zw
maize,SC-555,early,120,135,Masvingo,{},zw
maize,SC-659,medium,135,150,Masvingo,{},zw
maize,SC-727,late,150,160,Masvingo,{},zw
millet,FMV-1,late,130,145,Masvingo,{},zw
millet,FMV-2,late,130,145,Masvingo,{},zw
millet,PMV-1,medium,75,120,Masvingo,{},zw
millet,PMV-2,medium,75,120,Masvingo,{},zw
millet,PMV3,medium,75,120,Masvingo,{},zw
millet,TSHOLOTSHO,medium,75,120,Masvingo,{},zw
roundnuts,BLACK,late,110,150,Masvingo,{},zw
roundnuts,BROWN,late,110,150,Masvingo,{},zw
roundnuts,CREAM-BLACK-EYE,late,110,150,Masvingo,{},zw
roundnuts,CREAM-BROWN-EYE,late,110,150,Masvingo,{},zw
roundnuts,CREAM-NO-EYE,late,110,150,Masvingo,{},zw
roundnuts,RED,late,110,150,Masvingo,{},zw
sesame,GOLDEN/BROWN-SESAM,early,80,90,Masvingo,{},zw
sesame,WHITE-SESAME,early,80,90,Masvingo,{},zw
sorghum,MARCIA,medium,90,120,Masvingo,{},zw
sorghum,SC-SILA,medium,90,120,Masvingo,{},zw
sorghum,SHIRIKURE,medium,90,120,Masvingo,{},zw
sorghum,SV-1,medium,90,120,Masvingo,{},zw
sorghum,SV-2,medium,90,120,Masvingo,{},zw
sorghum,SV-3,medium,90,120,Masvingo,{},zw
sorghum,VUMBA,medium,90,120,Masvingo,{},zw
sunflower,MASASA,medium,80,120,Masvingo,{},zw
sunflower,PERODOVIC,medium,80,120,Masvingo,{},zw
sweet-potatoes,ALISHA,late,120,150,Masvingo,{},zw
sweet-potatoes,GERMANY-2,late,120,150,Masvingo,{},zw
