month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1958-08,,17.3,18.4,20.1,20.1,26.1,30.2
1958-09,,13.2,17.5,20.5,21.3,27.2,30.8
1958-10,,13.9,16.7,19,23.6,28.4,30.8
1958-11,,12.7,16,19.4,26.6,28.7,30.9
1958-12,,10.8,12.9,15.6,22.3,25,27.9
1959-01,,10,13.2,15.7,21.8,24.7,28.1
1959-02,,10.9,13.9,16.7,18.4,26.2,32.3
1959-03,,12.8,16.5,19.4,24.9,29.5,33.6
1959-04,,11.6,18.6,21.1,19.1,32.3,35.7
1959-05,,14,18.8,23.8,18.6,30.7,36.4
1959-06,,17.2,18.7,20.8,19.7,27.8,33.6
1959-07,,13.4,17.6,20,21.4,27.5,30.8
1959-08,,15.5,18,20.3,23.3,26.9,29.4
1959-09,,13.6,17.2,19.6,24.2,26.3,28.6
1959-10,,12.7,16.4,19.3,21.7,27.1,30.7
1959-11,,10.6,14.7,18.4,22.3,26.7,30.6
1959-12,,10,13,15.4,20.8,24.6,27.9
1960-01,,8.8,11.9,15.2,18.9,23.1,29
1960-02,,11.1,14.4,17.6,25.3,27.9,31.3
1960-03,,13.5,16.9,20,26.1,29.8,33.3
1960-04,,14.8,19.4,22,25,32.5,35
1960-05,,17.1,20.2,22.8,21.5,31.2,34.6
1960-06,,16.6,19.3,22.7,23.6,29.6,34.9
1960-07,,17.2,18.5,19.8,21.1,26.7,30.7
1960-08,,16.7,18,19.9,22.9,27,30
1960-09,,17.2,18.8,19.8,23.1,26.9,28.8
1960-10,,13.9,17.5,19.6,24,27.8,30.6
1960-11,,12.5,15.7,18.3,25.2,28.2,30.7
1960-12,,10.3,13.4,15.9,22,25.3,28.9
1961-01,,9,12.9,16.3,19.9,23.6,27.2
1961-02,,8.9,13.2,16.9,19.8,25.2,30.8
1961-03,,10.6,16.9,19.6,19.6,30.3,33.4
1961-04,,15.1,19.9,23.4,25.6,33,36.8
1961-05,,15.7,18.3,23.1,21.1,28.3,36.6
1961-06,,15.6,18.2,20,21.2,26.4,31.1
1961-07,,16.7,18,19.6,22,26.4,29.2
1961-08,,16.7,18.1,19.3,24.2,27.4,29.8
1961-09,,14.4,17.1,19.4,21.2,27,30.1
1961-10,,14.6,17.1,18.7,20.3,26.6,30
1961-11,,10,12,15,22.1,23.9,26.7
1961-12,,9.2,12.3,15.5,22.8,26.3,29.5
1962-01,,9.9,12.1,14.4,18.9,23.8,29
1962-02,,11.7,14.1,19.2,21.7,27.3,31.1
1962-03,,11.7,16.4,20,25.4,30.3,33.3
1962-04,,15.7,19.3,22.8,28.8,32.9,35.6
1962-05,,16.7,19.3,22.2,26.6,30.3,34.6
1962-06,,17,18.2,19.4,20.6,26.5,29.5
1962-07,,15.6,17.6,18.7,24.7,27.5,30.5
1962-08,,15.1,17.3,19.2,22.3,25.9,29.9
1962-09,,13.8,17,18.9,21.7,26,29.1
1962-10,,10.6,15.8,18.4,19.5,26.5,30.2
1962-11,,10,12.9,16.1,21.6,25.2,31.8
1962-12,,7.8,10.9,13.4,19.6,24.1,28.1
1963-01,,9.2,12.2,15.7,19.4,25.4,28.3
1963-02,,9.8,13.1,16.2,23.5,27.2,31
1963-03,,13.1,16.6,20.6,25.7,30.4,34.6
1963-04,,16.1,19.5,21.8,26.5,32.7,36.1
1963-05,,16,18.7,20.6,25,29.1,31.7
1963-06,,14.9,18.4,20,21.2,27.4,31.7
1963-07,,15.1,18.2,19.3,21.6,26.5,29.7
1963-08,,16.6,18.3,20.3,24,28,30.6
1963-09,,15.6,18,20.1,27.2,29.7,31.7
1963-10,,12.2,15.8,18.1,22.5,28.3,31.8
1963-11,,10.6,13.4,15.8,22.8,25.8,29.5
1963-12,,7.5,11.8,15.1,19.7,25.1,28.6
1964-01,,6.2,10.3,12.7,16.7,22.4,26.4
1964-02,,9.5,12.9,17.5,21.7,26.3,30.9
1964-03,,11.9,16,19.6,24.5,29.2,33.4
1964-04,,16.4,19.4,23.3,29.2,32.7,35.3
1964-05,,13.8,19,22.8,18.1,30.6,36.1
1964-06,,15,17.9,20.1,22.3,27.8,31.4
1964-07,,15.7,17.7,19,21.2,25.7,30
1964-08,,16.1,17.6,19.2,21.4,26.5,30.2
1964-09,,14.9,16.9,19,21.3,27,29.4
1964-10,,11.6,15.5,19.3,23.9,27.7,31.6
1964-11,,9.4,12.6,16.1,18,25.4,28.9
1964-12,,8.5,11.3,15.8,16.8,24.7,28.5
1965-01,,8.2,11.2,15,19.9,24.4,28.3
1965-02,,11.1,13.7,17.4,21.7,26.8,31.1
1965-03,,12.2,16,19,20.6,29.1,33.8
1965-04,,13.9,18.7,22.8,18.9,31,35.2
1965-05,,16.1,19.7,23.3,22.7,31,35.1
1965-06,,16.9,18.4,20,26.2,29.1,32.3
1965-07,,,,,21.2,28.1,31.4
1965-09,,13.8,16.9,19.4,23.6,27.6,30.6
1965-10,,11.7,16.1,19.7,21.1,27.1,32.3
1965-11,,10.6,14.9,17.8,20.3,27.3,31.1
1965-12,,10,12.9,15.8,20,24.5,28.9
1966-02,,9.2,14.6,18.6,19.9,28,32.6
1966-03,,13.8,17.6,21.6,25.9,30.7,35.1
1966-04,,14.9,18.7,22.2,26.1,32.5,36.3
1966-05,,16.7,20.1,22.8,23.1,32.3,36.2
1966-06,,17.6,19.1,21.6,25,30.3,34.9
1966-07,,17.3,18.8,20.1,23.2,27.6,30.6
1966-08,,17.1,18.4,20.1,21,27.4,30
1966-09,,15.8,18.2,20,20.9,26.7,30.6
1966-10,,14.9,17.1,19.6,21.8,27.3,30.1
1966-11,,11.8,14.7,17.9,24,26.2,28.4
1966-12,,9.6,14.1,17.5,21.7,25.4,30.1
1967-01,,,,,17.5,23.1,27.9
1967-02,,10.3,13.6,17.3,16.2,25.4,30.1
1967-03,,13.1,16.1,19.9,22.1,28.5,33.7
1967-04,,17.2,19.8,22.7,23.9,32.8,35.8
1967-05,,17.3,19.3,21.2,22.2,30.5,35.1
1967-06,,14.7,18.3,20.4,21.1,28.5,32.8
1967-07,,16.1,18.5,21.4,22.2,28.1,32.3
1967-08,,16.1,17.9,20.1,22.3,27.5,31
1967-09,,14,17,19.7,23.4,27.1,30.1
1967-10,,12,16.7,19.5,24.4,27.7,30.4
1967-11,,11.1,14.8,18.6,22.2,27.1,31.6
1967-12,,6.8,11.7,17.3,17.9,24.1,28.9
1968-01,,8.4,12.7,17.7,20.7,25.2,29.6
1968-02,,10.6,14.6,17.2,21.8,28.1,32.1
1968-03,,11.4,16.8,21.6,,,
1968-04,,15.7,19.8,22.8,26.4,33.6,36.6
1968-05,,14.3,18.7,21.7,21.2,30,36.2
1968-06,,16.1,18.9,20.8,22.2,26.8,31.2
1968-07,,16.9,18.8,19.7,23.4,27.1,30.1
1968-08,,17.2,18.6,19.7,23.8,27.7,30.2
1968-09,,16.3,18.4,19.7,21.3,27.6,29.8
1968-10,,14.4,17.5,19.4,24,28,30.4
1968-11,,11.6,13.9,18.8,21.7,26.3,30.3
1968-12,,9.1,12.6,15.3,19.4,25.6,29.7
1969-01,,9.1,12.3,14.4,16.7,24.4,27.6
1969-02,,11.9,14.4,16.7,22.2,26.6,30.1
1969-03,,15.6,17.8,20.8,23.4,30.3,35
1969-04,,17.8,19.9,22.2,26.8,33.1,35.8
1969-05,,14.4,19.4,22.3,21.4,31.7,35.9
1969-06,,16.7,18.1,19.5,22.7,27.3,30.5
1969-07,,15.3,17.9,19.3,22,27.3,31.7
1969-08,,16,17.9,20.3,20,28,32.1
1969-09,,13.3,16.9,20.6,22.7,29,32
1969-10,,12.5,15.6,19.2,24.3,28.2,31.7
1969-11,,11.1,14.4,18.4,24.4,28,31.2
1969-12,,9.4,12.7,17.3,21.2,25.1,28.8
1970-01,,9,12.5,17.1,21.1,26.1,29.1
1970-02,,12.2,15.4,17.8,21.8,27.4,32.1
1970-03,,15.7,18.2,21.1,27.3,31.7,34.9
1970-04,,15,19.5,22.2,24.3,32.2,35.8
1970-05,,17.2,19.2,21.7,24.7,30.2,34.3
1970-06,,17.1,18.1,19.1,22.2,26.6,29.8
1970-07,,16.3,17.9,19.9,21.1,26.9,31.7
1970-08,,16.2,17.5,19.3,21.6,26.8,29.1
1970-09,,16.1,17.5,18.8,26.1,28.1,30.3
1970-10,,13.1,16.4,18.6,26.6,28.8,30.1
1970-11,,8.8,13.4,17.7,19.6,26.3,29.9
1970-12,,8.9,11.6,15.4,21.3,24.1,29.2
1971-01,,8.6,12.6,20.7,22.1,25.2,28.2
1971-02,,10,13.6,16.1,23.4,28.4,31.1
1971-03,,12.9,15.9,18.9,25.7,30,34.1
1971-04,,13.9,19,23.2,28.2,32.4,36.4
1971-05,,15.4,18.9,23.1,24.3,30.5,35.9
1971-06,,16.9,18.2,19.9,24.4,28.3,32
1971-07,,16.7,18.4,20.5,24.6,27.1,29.5
1971-08,,7.2,17.8,20.3,20.4,27.3,30.1
1971-09,,14.8,17.7,19.2,25.9,28.2,30.7
1971-10,,15.9,17.4,19.1,23.6,27.5,30.4
