Year,Rainfall,Start,End,Length
1980,1181.7,null,268,null
1981,304.2,null,null,null
1982,847.6,null,284,null
1983,705.5,166,303,137
1984,811.3,null,null,null
1985,1579.7,null,296,null
1986,874.3,161,278,117
1987,1192.9,151,292,141
1988,1564.3,154,292,138
1989,1216.9,null,278,null
1990,988.4,179,282,103
1991,1196.2,145,273,128
1992,1033.6,166,290,124
1993,979.2,null,295,null
1994,812.5,null,null,null
1995,1250.8,null,281,null
1996,801,173,283,110
1997,856.5,null,null,null
1998,1014.6,null,279,null
1999,692.3,null,292,null
2000,1131.3,142,272,130
2001,1026.8,148,269,121
2002,1164.3,173,279,106
2003,781.7,153,259,106
2004,904.1,147,null,null
2005,1044.5,null,274,null
2006,1027.1,148,269,121
2007,836.1,160,261,101
2008,1120.6,149,265,116
2009,831.7,null,263,null
2010,946.6,147,271,124
2011,1011.5,184,286,102
2012,687.9,164,246,82
2013,956,166,281,115
2014,876.2,172,291,119
2015,660.6,168,266,98
2016,1047.1,160,280,120
2017,886.5,163,288,125
2018,1112.9,146,293,147
2019,366.4,149,184,35
